本頻道表由小Q整理
台灣節目表,#genre#
斗魚 電影連播,http://hdltctwk.douyucdn2.cn/live/323876rpFaccVdDN.flv#http://akm-tct.douyucdn.cn/live/323876rpFaccVdDN.flv
斗魚 漫威連播,http://hdltctwk.douyucdn2.cn/live/6140589rSpUBaJqE.flv#http://akm-tct.douyucdn.cn/live/6140589rSpUBaJqE.flv
斗魚 科幻,http://hdltctwk.douyucdn2.cn/live/9651304rNptkvsCR.flv#http://akm-tct.douyucdn.cn/live/9651304rNptkvsCR.flv
斗魚 科幻2,http://hdltctwk.douyucdn2.cn/live/252802rjeI7DResb.flv#https://akm-tct.douyucdn.cn/live/4332rMpqZeySMDIm.flv
斗魚 邵氏影院,http://hdltctwk.douyucdn2.cn/live/4246519rBDNfgQ00.flv#https://akm-tct.douyucdn.cn/live/4246519rBDNfgQ00.flv
斗魚 Running,http://hdltctwk.douyucdn2.cn/live/7298973rf8ZRAH9s.flv#http://akm-tct.douyucdn.cn/live/7298973rf8ZRAH9s.flv
斗魚 動畫,http://hdltctwk.douyucdn2.cn/live/997925rBJoloI6nn.flv#http://akm-tct.douyucdn.cn/live/997925rBJoloI6nn.flv?uuid=
哆啦A夢,http://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/106639/live_8327004_5557615.m3u8
MOD電影推薦(１,https://modfree-hamivideo.cdn.hinet.net/out/u/live/gop4/cht/hamitv-event024/hls-ae-tv/index.m3u8?ar=0&as=1
BBCWorldNews(２,p3p://fccs.123178.top:9906/60464299000eba8708870be862b68160.ts
CNN(５,https://cnn-cnninternational-1-gb.samsung.wurl.com/manifest/playlist_1280x720_3000k.m3u8#http://125.227.210.55:10797/VideoInput/play.ts#http://93.107.103.248:8123/play/cnn/index.m3u8#http://125.227.210.37:10797/VideoInput/play.ts
CNN印尼(５,http://live.cnnindonesia.com/livecnn/smil:cnntv.smil/chunklist_w1285822120_b384000_sleng.m3u8
民視(６,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv002&nid=3#http://50.7.61.147:30080/Entry/ftv#rtmp://59.124.75.138/sat/tv051#rtmp://161.202.204.248:1935/sat/tv051#http://seb.sason.top/ptv/ftv.php?id=ms#http://v3948069e.live.126.net/live/nteimwyu30134860/28.flv#p3p://fccs.123178.top:9906/6043597b000602c20708576dff009975.ts
人間衛視(７,p3p://fccs.123178.top:9906/60463f7d000802da087ae4d0305dfcaf.ts
台視(８,rtmp://59.124.75.138/sat/tv071
大愛一台(９,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live007&nid=209#https://pulltv1.wanfudaluye.com/live/tv1.m3u8
中視(１０,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv040&nid=4#http://50.7.61.148:30080/Entry/ctv#rtmp://59.124.75.138/sat/tv091#rtmp://161.202.204.248:1935/sat/tv091#p3p://fccs.123178.top:9906/60448622000d89b401bedac2a3be746c.ts
華視(１２,rtmp://59.124.75.138/sat/tv111#http://50.7.61.147:30080/Entry/cts#rtmp://161.202.204.248:1935/sat/tv111
公視(１３,https://raw.githubusercontent.com/LiuYi0526/IPTV/YTlive/PTS.m3u8
公視2(台語台１４,p3p://fccs.123178.top:9906/60448ebb000b822801e06fe5cbe82807.ts
GoodTV(綜合台１５,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8#http://live.streamingfast.net/osmflivech1.m3u8
原住民頻道(１６,http://streamipcf.akamaized.net/live/_definst_/smil:liveabr.smil/playlist.m3u8#p3p://fccs.123178.top:9906/60448580000cd93c01bc61c5ce37b60a.ts#http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
客家電視台(１７,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv043&nid=107
國家地理頻道(１８,http://125.227.210.55:16408/VideoInput/play.ts#http://125.227.210.37:16408/VideoInput/play.ts
國家地理頻道(台灣)(１８,p3p://fccs.123178.top:9906/6043485f000c065106c583978afda437.ts
國家地理頻道(越南１８,https://livecdn.fptplay.net/foxlive/natgeohd_hls.smil/chunklist_b2500000.m3u8
TLC旅遊生活(２０,http://50.7.61.147:30080/Entry/tlc#http://125.227.210.55:19020/VideoInput/play.ts#p3p://fccs.123178.top:9906/60440517000a918709a6b1f73be1eeb9.ts#http://125.227.210.37:19020/VideoInput/play.ts
TLC(英２０,http://v3948069e.live.126.net/live/dbxjvaas82012788/109.flv
動物星球(２１,p3p://fccs.123178.top:9906/60440362000e75bc09a007eeaa0519c7.ts
動物星球(印尼２１,http://50.7.161.82:8278/streams/d/AnimalPlanet/playlist.m3u8
CN卡通頻道(２２,http://125.227.210.55:16671/VideoInput/play.ts#p3p://fccs.123178.top:9906/604480aa000baba001a97d8882607e75.ts#http://125.227.210.37:16671/VideoInput/play.ts
Disney Channel(２３,http://125.227.210.55:14250/VideoInput/play.ts#p3p://fccs.123178.top:9906/604481b9000baf3801ada02160f76b5d.ts#http://125.227.210.37:14250/VideoInput/play.ts
迪士尼(英２３,http://198.16.106.62:8278/streams/d/Disneyxd/playlist.m3u8
MoMo親子台(２４,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live107&nid=231#p3p://fccs.123178.top:9906/604480210005726601a764c84f1d9e1c.ts
八大第一台(２７,http://v3948069e.live.126.net/live/rqatqgjm22275249/131.flv#http://iptv5.phoves.com.cn/api/wz7.php?id=125
八大綜合台(２８,http://v3948069e.live.126.net/live/ytkhdube88257844/132.flv#p3p://fccs.123178.top:9906/6044d641000e5dc002f7d411a124e035.ts#http://iptv5.phoves.com.cn/api/wz7.php?id=126
三立台灣台(２９,http://sanlihalive1-a.akamaihd.net/0303cb3643ae4096bec825cd52d1e886/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1661492109~exp=9007200916233100~acl=/0303cb3643ae4096bec825cd52d1e886/*/profile_0/chunklist.m3u8*~hmac=fb3174a75f8b2df86038e9fce4c7af32557806fd3fb207aa310768c1d69b1243
三立都會台(３０,http://sanlihalive1-a.akamaihd.net/6ea5815ebc72401ba5b92238933ead30/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1661497931~exp=9007200916238922~acl=/6ea5815ebc72401ba5b92238933ead30/*/profile_0/chunklist.m3u8*~hmac=528b5e6bb3af6d60622af5f36c87c7dd1800fbaf12b2aa116a42736b58bbb72e
衛視中文台(３１,http://50.7.61.148:30080/Entry/starchinese#p3p://fccs.123178.top:9906/6045bbb2000922ef0678142229e89274.ts
tvN(印尼３１,http://50.7.161.82:8278/streams/d/TVN/playlist.m3u8
東森超視(３３,rtmp://59.124.75.138/sat/tv771#rtmp://161.202.204.248:1935/sat/tv771#http://v3948069e.live.126.net/live/ejwjoler14799602/141.flv#http://iptv5.phoves.com.cn/api/wz7.php?id=135
中天綜合台(３６,http://125.227.210.55:14583/VideoInput/play.ts#p3p://fccs.123178.top:9906/60449782000897640202b87e04b40c6d.ts#http://125.227.210.37:14583/VideoInput/play.ts
東風衛視(３７,p3p://fccs.123178.top:9906/604640af000dbd7a087f919857110af4.ts
年代MUCH(３８,p3p://fccs.123178.top:9906/60449ce00006c4040217af361b6c5a1a.ts
中天娛樂台(３９,http://125.227.210.55:15796/VideoInput/play.ts#http://125.227.210.37:15796/VideoInput/play.ts
東森戲劇台(４０,http://125.227.210.55:17524/VideoInput/play.ts#http://v3948069e.live.126.net/live/vuecwawm98283796/140.flv#http://125.227.210.37:17524/VideoInput/play.ts#http://iptv5.phoves.com.cn/api/wz7.php?id=134
八大戲劇台(４１,p3p://fccs.123178.top:9906/6044d5ac000936f902f58cb70525846f.ts
TVBS歡樂台(HD４２,rtmp://59.124.75.138/sat/tv421#rtmp://161.202.204.248:1935/sat/tv421#p3p://fccs.123178.top:9906/60449be700025e680213e16e7d39f5a6.ts#http://60.251.59.179:8520/http/192.168.77.7:8088/hls/104/startwest89.m3u8
TVBS歡樂台(SD４２,rtmp://59.124.75.138/sat/tv422#rtmp://161.202.204.248:1935/sat/tv422
緯來戲劇台(４３,p3p://fccs.123178.top:9906/6044a124000716e6022858ec2ddd7840.ts
東森購物一台(４７,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live047&nid=173
CYC世新綜合(４９,http://61.58.60.230:9319/live/49.m3u8
壹電視新聞台(４９,http://stream.nexttv.com.tw/n001/hd/live.m3u8#http://stream.nexttv.com.tw/n001/playlist.m3u8
