電影©輪播,#genre#

北京IPTV+4K,http://221.179.217.94/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8
淘电影[高清],http://39.134.134.85:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/1.m3u8
淘娱乐[高清],http://39.135.238.69:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226551/1.m3u8
周星驰,http://auney.gearhostpreview.com/huya.php?id=11342412
林正英,http://auney.gearhostpreview.com/huya.php?id=11342421
成龙,http://auney.gearhostpreview.com/huya.php?id=11342386
李连杰,http://auney.gearhostpreview.com/huya.php?id=11342390
吴京,http://auney.gearhostpreview.com/huya.php?id=11602045
国产喜剧,http://auney.gearhostpreview.com/huya.php?id=11602044
丧尸,http://auney.gearhostpreview.com/huya.php?id=11352962
五福星,http://auney.gearhostpreview.com/huya.php?id=11282233
甄子丹,http://auney.gearhostpreview.com/huya.php?id=11352935
卧底警匪,http://auney.gearhostpreview.com/huya.php?id=11352886
周润发,http://auney.gearhostpreview.com/huya.php?id=11342387
抗日情景,http://auney.gearhostpreview.com/huya.php?id=11342433
沈腾,http://auney.gearhostpreview.com/huya.php?id=11601968
盗墓系列,http://auney.gearhostpreview.com/huya.php?id=11352913
洪金宝,http://auney.gearhostpreview.com/huya.php?id=11342427
灾难电影,http://auney.gearhostpreview.com/huya.php?id=11352871
终结者电影,http://auney.gearhostpreview.com/huya.php?id=11352979
徐峥,http://auney.gearhostpreview.com/huya.php?id=11602043
战斗,http://auney.gearhostpreview.com/huya.php?id=11602075
刘德华,http://auney.gearhostpreview.com/huya.php?id=11342424

速度与激情,http://auney.gearhostpreview.com/huya.php?id=11352949
小品,http://auney.gearhostpreview.com/huya.php?id=11352938
历年贺岁档,http://auney.gearhostpreview.com/huya.php?id=11601986

港产搞笑,http://auney.gearhostpreview.com/huya.php?id=11342423
港产搞笑2,http://auney.gearhostpreview.com/huya.php?id=11602041

黑帮电影,http://auney.gearhostpreview.com/huya.php?id=11342419
港产3,http://auney.gearhostpreview.com/huya.php?id=11342435
吐槽大会,http://auney.gearhostpreview.com/huya.php?id=11342422
粤语港片,http://auney.gearhostpreview.com/huya.php?id=11352894
漫威,http://auney.gearhostpreview.com/huya.php?id=11602034
获奖电影,http://auney.gearhostpreview.com/huya.php?id=11352876
猎奇电影,http://auney.gearhostpreview.com/huya.php?id=11601970
古装电影,http://auney.gearhostpreview.com/huya.php?id=11352880
欧美特工,http://auney.gearhostpreview.com/huya.php?id=11602069
港剧,http://auney.gearhostpreview.com/huya.php?id=11602046
港片4,http://auney.gearhostpreview.com/huya.php?id=11352916
港片5,http://auney.gearhostpreview.com/huya.php?id=11352906


金庸电影,http://auney.gearhostpreview.com/huya.php?id=11352897

许氏电影,http://auney.gearhostpreview.com/huya.php?id=11602033
欧美动作,http://auney.gearhostpreview.com/huya.php?id=11352934
功夫电影,http://auney.gearhostpreview.com/huya.php?id=11352941
外国电影,http://auney.gearhostpreview.com/huya.php?id=11342428


国内电影,http://auney.gearhostpreview.com/huya.php?id=11352881
开心鬼,http://auney.gearhostpreview.com/huya.php?id=11342388
香港霸王花,http://auney.gearhostpreview.com/huya.php?id=11352909
爱情公寓,http://auney.gearhostpreview.com/huya.php?id=11336726
武林外传,http://auney.gearhostpreview.com/huya.php?id=11352915
插翅难逃,http://auney.gearhostpreview.com/huya.php?id=11352940
神探狄仁杰,http://auney.gearhostpreview.com/huya.php?id=11352958
家有儿女,http://auney.gearhostpreview.com/huya.php?id=11352872
少年包青天,http://auney.gearhostpreview.com/huya.php?id=11342393
好先生,http://auney.gearhostpreview.com/huya.php?id=11352973
火蓝刀锋,http://auney.gearhostpreview.com/huya.php?id=11336592
知否知否,http://auney.gearhostpreview.com/huya.php?id=11602068
士兵突击,http://auney.gearhostpreview.com/huya.php?id=11342430
搞笑一家人,http://auney.gearhostpreview.com/huya.php?id=11601978
少帅,http://auney.gearhostpreview.com/huya.php?id=11342414
生活大爆炸,http://auney.gearhostpreview.com/huya.php?id=11352959
卫国无敌,http://auney.gearhostpreview.com/huya.php?id=11336578
大宅门,http://auney.gearhostpreview.com/huya.php?id=11601982
鹿鼎记陈小春,http://auney.gearhostpreview.com/huya.php?id=11352910
炊事班的故事,http://auney.gearhostpreview.com/huya.php?id=11352895
齐天大圣孙悟空,http://auney.gearhostpreview.com/huya.php?id=11342395
正阳门下,http://auney.gearhostpreview.com/huya.php?id=11352965
命案十三宗,http://auney.gearhostpreview.com/huya.php?id=11601981
永不磨灭的番号,http://auney.gearhostpreview.com/huya.php?id=11352875
倚天屠龙记,http://auney.gearhostpreview.com/huya.php?id=11342403
我和僵尸有个约会,http://auney.gearhostpreview.com/huya.php?id=11352948
三生三世,http://auney.gearhostpreview.com/huya.php?id=11602085
龙门镖局,http://auney.gearhostpreview.com/huya.php?id=11352874
老九门,http://auney.gearhostpreview.com/huya.php?id=11352887
潜伏,http://auney.gearhostpreview.com/huya.php?id=11601958
屌丝男士,http://auney.gearhostpreview.com/huya.php?id=11342420
西游记,http://auney.gearhostpreview.com/huya.php?id=11602031
民兵葛二蛋,http://auney.gearhostpreview.com/huya.php?id=11602072
大染坊,http://auney.gearhostpreview.com/huya.php?id=11352905
芈月传,http://auney.gearhostpreview.com/huya.php?id=11352918
伪装者,http://auney.gearhostpreview.com/huya.php?id=11602086
我的兄弟叫顺溜,http://auney.gearhostpreview.com/huya.php?id=11601957
还珠格格,http://auney.gearhostpreview.com/huya.php?id=11342415
天龙八部胡军,http://auney.gearhostpreview.com/huya.php?id=11602036
新倚天屠龙记,http://auney.gearhostpreview.com/huya.php?id=11602067
韩剧剧场,http://auney.gearhostpreview.com/huya.php?id=11352904
欢乐颂,http://auney.gearhostpreview.com/huya.php?id=11601979
法证先锋,http://auney.gearhostpreview.com/huya.php?id=11342398
神话,http://auney.gearhostpreview.com/huya.php?id=11602074
医馆笑传,http://auney.gearhostpreview.com/huya.php?id=11352891
情满四合院,http://auney.gearhostpreview.com/huya.php?id=11342426
父母爱情,http://auney.gearhostpreview.com/huya.php?id=11352920
毛骗,http://auney.gearhostpreview.com/huya.php?id=11352912
都挺好,http://auney.gearhostpreview.com/huya.php?id=11602084
老友记,http://auney.gearhostpreview.com/huya.php?id=11352945
香蜜沉沉,http://auney.gearhostpreview.com/huya.php?id=11352892
我的团长我的团,http://auney.gearhostpreview.com/huya.php?id=11342416
大宋提刑官,http://auney.gearhostpreview.com/huya.php?id=11279251
爱死亡机器人,http://auney.gearhostpreview.com/huya.php?id=11601964
魔幻手机,http://auney.gearhostpreview.com/huya.php?id=11602065
行尸走肉,http://auney.gearhostpreview.com/huya.php?id=11352963
旋风十一人,http://auney.gearhostpreview.com/huya.php?id=11342400
猪八戒系列,http://auney.gearhostpreview.com/huya.php?id=11352877
犬夜叉,http://auney.gearhostpreview.com/huya.php?id=11352893
王子变青蛙,http://auney.gearhostpreview.com/huya.php?id=11352960
我的前半生,http://auney.gearhostpreview.com/huya.php?id=11601971
新神雕侠侣古天乐,http://auney.gearhostpreview.com/huya.php?id=11352878
我们结婚吧,http://auney.gearhostpreview.com/huya.php?id=11342394
极品家丁,http://auney.gearhostpreview.com/huya.php?id=11352884
血色浪漫,http://auney.gearhostpreview.com/huya.php?id=11602055
花千骨,http://auney.gearhostpreview.com/huya.php?id=11602058
聊斋志异,http://auney.gearhostpreview.com/huya.php?id=11602054
高分韩剧,http://auney.gearhostpreview.com/huya.php?id=11352903
射雕英雄传朱茵,http://auney.gearhostpreview.com/huya.php?id=11342438
欢喜密探,http://auney.gearhostpreview.com/huya.php?id=11336590
黑洞,http://auney.gearhostpreview.com/huya.php?id=11602088
韩剧探案,http://auney.gearhostpreview.com/huya.php?id=11336725
我非英雄,http://auney.gearhostpreview.com/huya.php?id=19524135
勇敢的心,http://auney.gearhostpreview.com/huya.php?id=11602037
极限男人帮,http://auney.gearhostpreview.com/huya.php?id=11352914
奔跑吧兄弟,http://auney.gearhostpreview.com/huya.php?id=11601972
向往的生活,http://auney.gearhostpreview.com/huya.php?id=11342436
Running Man,http://auney.gearhostpreview.com/huya.php?id=11352883
明星大侦探,http://auney.gearhostpreview.com/huya.php?id=11336579
相声小品,http://auney.gearhostpreview.com/huya.php?id=11336593
王牌对王牌,http://auney.gearhostpreview.com/huya.php?id=11601961
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225667/index.m3u8
老电影,http://42.56.91.136/live-bvc/164219/live_97065163_17925468.m3u8
