台灣台_0,#genre#
松視1台,p5p://0198.02686.cc:16871/60d53d8e00057359f2ab7923682f1b04.ts#p5p://crfccs.kingh888.com:16666/60ab2744000d91cc0e611b49573518f1#mitv://fccseuro.pvbox.live:18912/5c7249be000b8793baaac296ccc9199a
松視2台,p5p://0198.02686.cc:16871/60d53dc70008faa7f2ac58b29604771a.ts#p5p://crfccs.kingh888.com:16666/60ab2759000359320e616ab455299cce#mitv://fccseuro.pvbox.live:18912/5c7249c2000e510ff069277e6de97521
彩虹E台,p2p://ns2.hellotvvod.com:9906/292dfb99a1114149b4b8dd96f8287178#p5p://0198.02686.cc:16871/60d53d5a000f345ff2aab082b6067f98.ts#p5p://crfccs.kingh888.com:16666/60ab271b0008823b0e6079d6366a0d7e#mitv://fccseuro.pvbox.live:18912/5c7249dd000ca2108817c65b6059636f
彩虹電影,p2p://ns2.hellotvvod.com:9906/59869bca8f7d4eb994df203f20b9fea2#p5p://crfccs.kingh888.com:16666/60ab2705000438470e6022cd64274913#p5p://0198.02686.cc:16871/60d53d16000eff77f2a9a6d4e162209c.ts
極限電影,p2p://ns2.hellotvvod.com:9906/acaf89fb47d045e8befad581cbfce1e6#p5p://0198.02686.cc:16871/60d53e1000085590f2ad75b087c6e78e.ts#p5p://crfccs.kingh888.com:16666/60ab2789000ebe270e62291ec8b20e2d.ts
香蕉台,http://125.227.210.55:11055/VideoInput/play.ts#http://125.227.210.37:11055/VideoInput/play.ts#p2p://ns2.hellotvvod.com:9906/443252cb67f540318affc6452f092e6d#p2p://fccseuro.pvbox.live:18912/5c7249cb000744bc8d84a353672b18fe#mitv://fccseuro.pvbox.live:18912/5c7249cb000744bc8d84a353672b18fe
驚豔電影台,p2p://ns2.hellotvvod.com:9906/b1f2702487cd488da09ec98185a530f1#p5p://0198.02686.cc:16871/60d53ded0009cddef2aced586355082e.ts#mitv://fccseuro.pvbox.live:18912/5c7249cf00095b61a6551090eece092b
潘多拉完美,p5p://0198.02686.cc:16871/60d53e4100021553f2ae337ec15497c2.ts#mitv://fccseuro.pvbox.live:18912/5c7249b6000641f7f22447de5605ea5f
潘朵拉粉紅,p2p://ns2.hellotvvod.com:9906/e47b4ca507fe46f18875802484ed9185#p2p://fccseuro.pvbox.live:18912/5c7249ba0008b3211d5786b3068b4615#mitv://fccseuro.pvbox.live:18912/5c7249ba0008b3211d5786b3068b4615

海外台_0,#genre#
BARELY LEGAL,http://iptvtree.net:8080/outputofflinechecker/9kyZXqC7MwVbkMnJmf/92037
PLAYBOY,http://iptvtree.net:8080/outputofflinechecker/9kyZXqC7MwVbkMnJmf/67686
HUSTLER ,http://iptvtree.net:8080/outputofflinechecker/9kyZXqC7MwVbkMnJmf/6028
VIVID RED ,http://iptvtree.net:8080/outputofflinechecker/9kyZXqC7MwVbkMnJmf/3989
BLUE HUSTLER,http://iptvtree.net:8080/outputofflinechecker/9kyZXqC7MwVbkMnJmf/37296
PENTHOUSE,http://iptvtree.net:8080/outputofflinechecker/9kyZXqC7MwVbkMnJmf/32056
PENTHOUSE GOLD F,http://iptvtree.net:8080/outputofflinechecker/9kyZXqC7MwVbkMnJmf/32056
MIAMI,http://iptvtree.net:8080/outputofflinechecker/9kyZXqC7MwVbkMnJmf/1731
PLAYBOY ,http://iptvtree.net:8080/outputofflinechecker/9kyZXqC7MwVbkMnJmf/14222
Fap tv lesbian,http://iptv.xprime.one/188/mono.m3u8
Fap,http://iptv.xprime.one/187/mono.m3u8
Balkan Erotic ,http://iptv.xprime.one/186/mono.m3u8
Balkan Erotic,http://iptv.xprime.one/186/mono.m3u8
Taboo,http://iptv.xprime.one/185/mono.m3u8
Czech streets ,http://iptv.xprime.one/184/mono.m3u8
Czech streets,http://iptv.xprime.one/184/mono.m3u8
XXL,http://iptv.xprime.one/183/mono.m3u8
EXTASY,http://iptv.xprime.one/182/mono.m3u8
ALBA XXX 3,http://iptv.xprime.one/181/mono.m3u8
ALBA XXX 2,http://iptv.xprime.one/180/mono.m3u8
Update ,http://iptv.xprime.one/179/mono.m3u8
HotClub,http://iptv.xprime.one/178/mono.m3u8
 Kings,http://iptv.xprime.one/177/mono.m3u8
XY Plus,http://iptv.xprime.one/176/mono.m3u8
XY Mix,http://iptv.xprime.one/175/mono.m3u8
XY Max,http://iptv.xprime.one/174/mono.m3u8
SuperOne ,http://iptv.xprime.one/173/mono.m3u8
SuperOne,http://iptv.xprime.one/173/mono.m3u8
XXX RED,http://iptv.xprime.one/172/mono.m3u8
Fake Taxi,http://iptv.xprime.one/171/mono.m3u8
Fake Taxi ,http://iptv.xprime.one/171/mono.m3u8
Penthouse Quickers,http://iptv.xprime.one/169/mono.m3u8
Dorcel,http://iptv.xprime.one/164/mono.m3u8
Dorcel ,http://iptv.xprime.one/164/mono.m3u8
Vivid Red,http://iptv.xprime.one/163/mono.m3u8
Vivid Red ,http://iptv.xprime.one/163/mono.m3u8
Private ,http://iptv.xprime.one/162/mono.m3u8
Private,http://iptv.xprime.one/162/mono.m3u8
Penthouse Gold,http://iptv.xprime.one/161/mono.m3u8
Penthouse Passion,http://iptv.xprime.one/160/mono.m3u8
Redlight,http://iptv.xprime.one/158/mono.m3u8
Redlight ,http://iptv.xprime.one/158/mono.m3u8
Barely Legal,http://iptv.xprime.one/157/mono.m3u8
Brazzers TV Europe,http://iptv.xprime.one/156/mono.m3u8
O-La-La,http://iptv.xprime.one/155/mono.m3u8
Hustler,http://iptv.xprime.one/153/mono.m3u8
Hustler ,http://iptv.xprime.one/153/mono.m3u8
Playboy,http://iptv.xprime.one/152/mono.m3u8
PLAYBOY ,http://iptv.xprime.one/152/mono.m3u8
Rusland ,http://iptv.xprime.one/151/mono.m3u8
Rusland,http://iptv.xprime.one/151/mono.m3u8
Русская Ночь,http://iptv.xprime.one/150/mono.m3u8
Nieuwe sinds ,http://93.189.224.117:9030/russkayanoch
BARELY,http://91.237.126.50:9001/udp/239.10.13.1:1234?token=test
--,http://91.237.126.50:9001/udp/239.10.13.1:1234?token=test
Rusland ,http://91.237.126.50:9001/udp/239.10.12.83:1234?token=test
PLAYBOY ,http://91.237.126.50:9001/udp/239.10.12.69:1234?token=test
Playboy,http://91.237.126.50:9001/udp/239.10.12.69:1234?token=test
Update ,http://88.212.50.123:8001/1:0:16:7E7:AF2:BB:E080000:0:0:0
Hustler,http://88.212.50.123:8001/1:0:1:78C8:2C5:600:E080000:0:0:0
仅在深夜播放,http://88.212.50.123:8001/1:0:1:78C3:2C5:600:E080000:0:0:0
Private,http://88.212.50.123:8001/1:0:1:78BD:2C5:600:E080000:0:0:0
SuperOne,http://88.212.50.123:8001/1:0:1:409:2:1:E0831B3:0:0:0
Nieuwe sinds ,http://85.143.191.135/544/stream.m3u8
Nieuws sinds ,http://82.77.177.191:8001/1:0:19:85:3:85:c00000:0:0:0
Vivid,http://82.77.177.191:8001/1:0:1:fe1:451:35:c00000:0:0:0
Vivid,http://82.77.177.191:8001/1:0:1:fe0:451:35:c00000:0:0:0
PLAYBOY ,http://82.77.177.191:8001/1:0:1:778b:424:1:c00000:0:0:0
Playboy,http://82.77.177.191:8001/1:0:1:778b:424:1:c00000:0:0:0
Hustler,http://82.77.177.191:8001/1:0:1:100d:451:35:c00000:0:0:0
Hustler,http://82.77.177.191:8001/1:0:1:100b:451:35:c00000:0:0:0
Penthouse,http://82.197.212.210:8000/play/a110
Penthouse ,http://82.197.212.210:8000/play/a110
Nieuwe sinds ,http://82.197.212.210:8000/play/a10y
Nieuwe sinds ,http://80.24.75.92:5555/udp/239.111.4.1:1234
Penthouse ,http://80.24.75.92:5555/udp/239.111.4.1:1234
Penthouse,http://80.24.75.92:5555/udp/239.111.4.1:1234
XXX 2,http://51.15.0.141:88/redlightHD/tracks-v1a1/mono.m3u8
XXX 2,http://51.15.0.141:88/redlightHD/mpegts
--,http://51.15.0.141:88/hustlerhd/tracks-v1a1/mono.m3u8
XXX 1,http://51.15.0.141:88/hustlerhd/mpegts
Nieuwe sinds ,http://5.255.90.184:2000/play/a03e
Lust Pur,http://5.146.116.76:8001/1:0:19:94D8:1AF:270F:FFFF0000:0:0:0
Lust Pur ,http://5.146.116.76:8001/1:0:19:94D8:1AF:270F:FFFF0000:0:0:0
仅在深夜播放,http://5.146.116.76:8001/1:0:19:85:1:85:FFFF0000:0:0:0
Lust Pur,http://5.146.116.76:8001/1:0:1:3B04:8D:270F:FFFF0000:0:0:0
Update ,http://5.146.116.76:8001/1:0:1:201:4:85:FFFF0000:0:0:0
--,http://213.151.233.20:8000/dna-6233-tv-pc/hls/4004v105.m3u8
extasy,http://213.151.233.20:8000/dna-6233-tv-pc/hls/4004v105.m3u8
SEXPRVE,http://200.194.238.229:8000/udp/227.0.0.64:1234
--,http://200.194.238.229:8000/udp/227.0.0.64:1234
Penthouse ,http://195.181.160.66:8000/udp/238.2.26.60:1234
Penthouse,http://195.181.160.66:8000/udp/238.2.26.60:1234
Penthouse Gold,http://195.181.160.66:8000/udp/238.2.26.59:1234
SuperOne,http://195.181.160.66:8000/udp/238.2.25.83:1234
SuperOne ,http://195.181.160.66:8000/udp/238.2.25.83:1234
Private,http://195.181.160.66:8000/udp/238.2.21.219:1234
Private ,http://195.181.160.66:8000/udp/238.2.21.219:1234
Vivid RED,http://195.181.160.66:8000/udp/238.2.21.208:1234
Vivid RED ,http://195.181.160.66:8000/udp/238.2.21.208:1234
XXX,http://195.181.160.66:8000/udp/238.2.21.203:1234
Nuart,http://195.181.160.66:8000/udp/238.2.19.218:1234
Redlight ,http://195.181.160.66:8000/udp/238.2.18.82:1234
Redlight,http://195.181.160.66:8000/udp/238.2.18.82:1234
Hustler,http://195.181.160.66:8000/udp/238.2.18.80:1234
Hustler ,http://195.181.160.66:8000/udp/238.2.18.80:1234
Dorcel ,http://195.181.160.66:8000/udp/238.2.18.78:1234
Dorcel,http://195.181.160.66:8000/udp/238.2.18.78:1234
XXL,http://195.181.160.66:8000/udp/238.2.0.225:1234
Шелк,http://194.190.78.91:8080/shelksd/mpegts
Шелк,http://194.190.78.91:8080/shelksd/index.m3u8
Шелк,http://194.190.78.91:8080/shelk/mpegts
Шелк ,http://194.190.78.91:8080/shelk/mpegts
Nieuwe,http://194.190.78.91:8080/shelk/index.m3u8
Nieuwe ,http://194.190.78.91:8080/shelk/index.m3u8
Visit-X ,http://194.116.150.47:1935/vxtv/live_720p/playlist.m3u8
Visit-X,http://194.116.150.47:1935/vxtv/live_360p/playlist.m3u8
Jasmin ,http://109.71.162.112:1935/live/hd.jasminchannel.stream/playlist.m3u8
Jasmin,http://109.71.162.112:1935/live/hd.jasminchannel.stream/playlist.m3u8

LOOK,p2p://ns1.hellotvvod.com:9906/5f6f13fd000df5af9efa871e6c7b3ce4.ts
惊艳台,p2p://ns1.hellotvvod.com:9906/5f898378000aecef2ebfae03144d6e94.ts
松视1台,p2p://ns1.hellotvvod.com:9906/5f897f67000298ef2eafc978696968c5.ts
极限电影台,p2p://ns1.hellotvvod.com:9906/5f8984c100059f812ec4b1c42bbd637b.ts 
电影1,http://cdn.adultiptv.net/blonde.m3u8?streamType=livеhls
电影2,http://188.35.9.26:5031/udp/058j?streamType=livеhls
限制级1,https://live-vestinn.cdnvideo.ru/vestinn/vestinn/playlist.m3u8?streamType=live
限制级2,http://cdnmg.secure.live.rtr-vesti.ru/vgtrkrtmp/rtmp_vestifm_480/playlist.m3u8
限制级3,hhttp://cdnmg.secure.live.rtr-vesti.ru/live/smil:rtrp.smil/chunklist_b800000.m3u8
限制级4,http://176.197.26.198:81/udp/239.255.42.143:1234
限制级6,http://109.71.162.112:1935/live/hd.jasminchannel.stream/chunklist_w1793148297.m3u8
限制级7,http://109.71.162.112/live/sd.jasminchannel.stream/chunklist_w233748568.m3u8
限制级8,http://188.93.95.83:80/ort/mpegts?streamType=live
限制级9,http://e02.plius.tv:64144/n137/index.m3u8?streamType=live
限制级10,http://dprtv.phoenix-dnr.ru/first-republic-tv?streamType=live
限制级11,http://9ef693e4a1c9995c5003732394002e98.streamhost.cc/m3u8/Sports/cb15bb5b0d62c23.m3u8
限制级14,http://193.42.99.130:23455/NHKBS1/playlist.m3u8
电影限制级<欧美>,Ahttp://cdn.adultiptv.net/compilation.m3u8?streamType=live
电影恨制级<欧美,>http://62.112.9.63:88/Brazzers/index.m3u8?token=test
限制级电影<欧美>,http://185.96.176.139:8080/superone/index.m3u8

LOOK HD,p5p://crfccs.kingh888.com:16666/60ab27300007c5930e60cbad188a91bd#p5p://crfccs.kingh888.com:16666/60ab2789000ebe270e62291ec8b20e2d.ts

車號_0,#genre#
102510-517淫蕩的家政婦,http://video1.rhsj520.com:8091/nyrm3/jlb-112/102510-517/1500kb/hls/index.m3u8
101310-507-1美女老闆誘惑職員,http://video1.rhsj520.com:8091/nyrm3/jlb-112/101310-507-1/1500kb/hls/index.m3u8
022311-627-1巨乳美少婦的誘惑,http://video1.rhsj520.com:8091/nyrm3/jlb-112/022311-627-1/1500kb/hls/index.m3u8
012411-599制服美少女的誘惑,http://video1.rhsj520.com:8091/nyrm3/jlb-112/012411-599/1500kb/hls/index.m3u8
012811-603-2連續中出性感美少女,http://video1.rhsj520.com:8091/nyrm3/jlb-112/012811-603-2/1500kb/hls/index.m3u8
012611-601禁忌關係10,http://video1.rhsj520.com:8091/nyrm3/jlb-112/012611-601/1500kb/hls/index.m3u8
011111-588我淫蕩的英語會話老師,http://video1.rhsj520.com:8091/nyrm3/jlb-112/011111-588/1500kb/hls/index.m3u8
010411-580中出淫蕩巨乳美少婦,http://video1.rhsj520.com:8091/nyrm3/jlb-112/010411-580/1500kb/hls/index.m3u8
012111-597-1愛口交的性感美少婦,http://video1.rhsj520.com:8091/nyrm3/jlb-112/012111-597-1/1500kb/hls/index.m3u8
010111-576-2女熱大陸22塚本友希後篇,http://video1.rhsj520.com:8091/nyrm3/jlb-112/010111-576-2/1500kb/hls/index.m3u8
010511-581品鮑淫禦禮,http://video1.rhsj520.com:8091/nyrm3/jlb-112/010511-581/1500kb/hls/index.m3u8
060216-001美穴鑒賞 北嶋杏,http://videocdnbaidu.rhsj520.com/rbny/20181005/jlbx/060216-001/index.m3u8

053017_533悶絶！美女,http://videocdn.quweikm.com:8091/20181101/hd_1pondo-053017_533/index.m3u8
060117_534藤井なな,http://videocdn.quweikm.com:8091/20181101/hd_1pondo-060117_534/index.m3u8
